AnnoS;CorsoTIPO;SESSO;Lau
2015;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3170
2015;Corso di Laurea - vecchio ordinamento;F;4331
2015;Laurea Magistrale - dm 270/04;M;37455
2015;Laurea Magistrale a Ciclo Unico - dm 270/04;F;16250
2015;Laurea - dm 270/04;F;92146
2015;Laurea Magistrale a Ciclo Unico - dm 270/04;M;10683
2015;Corso di Laurea - vecchio ordinamento;M;1164
2015;Laurea Specialistica - dm 509/99;F;1022
2014;Corso di Laurea - vecchio ordinamento;F;7208
2014;Laurea Magistrale a Ciclo Unico - dm 270/04;F;12804
2014;Laurea Magistrale - dm 270/04;F;48689
2014;Laurea Magistrale a Ciclo Unico - dm 270/04;M;8547
2014;Laurea - dm 270/04;M;57817
2014;Laurea Specialistica a Ciclo Unico - dm 509/99;F;7526
2014;Laurea  - dm 509/99;F;20377
2014;Laurea Specialistica - dm 509/99;F;2073
2014;Laurea Specialistica a Ciclo Unico - dm 509/99;M;4458
2014;Laurea - dm 270/04;F;83486
2014;Laurea Specialistica - dm 509/99;M;2048
2014;Corso di Laurea - vecchio ordinamento;M;1655
2014;Laurea  - dm 509/99;M;15700
2014;Laurea Magistrale - dm 270/04;M;35835
2013;Laurea Specialistica - dm 509/99;F;5186
2013;Corso di Laurea - vecchio ordinamento;F;7637
2013;Laurea Magistrale a Ciclo Unico - dm 270/04;M;7502
2013;Laurea - dm 270/04;F;63273
2013;Corso di Laurea - vecchio ordinamento;M;2262
2013;Laurea Specialistica - dm 509/99;M;4819
2013;Laurea Magistrale - dm 270/04;F;45269
2013;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5277
2013;Laurea  - dm 509/99;M;29194
2013;Laurea - dm 270/04;M;44033
2013;Laurea  - dm 509/99;F;41209
2013;Laurea Magistrale a Ciclo Unico - dm 270/04;F;10914
2013;Laurea Magistrale - dm 270/04;M;32972
2013;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8570
2012;Laurea - dm 270/04;M;27864
2012;Laurea Magistrale a Ciclo Unico - dm 270/04;F;9200
2012;Laurea  - dm 509/99;M;43165
2012;Laurea Specialistica - dm 509/99;M;12725
2012;Laurea Magistrale - dm 270/04;M;24714
2012;Laurea - dm 270/04;F;41348
2012;Corso di Laurea - vecchio ordinamento;M;3192
2012;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8637
2012;Laurea Magistrale - dm 270/04;F;37124
2012;Corso di Laurea - vecchio ordinamento;F;9105
2012;Laurea Specialistica - dm 509/99;F;13367
2012;Laurea Magistrale a Ciclo Unico - dm 270/04;M;6891
2012;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5310
2012;Laurea  - dm 509/99;F;60291
2011;Laurea  - dm 509/99;F;82767
2011;Laurea - dm 270/04;M;10608
2011;Laurea Magistrale a Ciclo Unico - dm 270/04;F;7588
2011;Laurea Magistrale - dm 270/04;F;21755
2011;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8329
2011;Laurea Magistrale - dm 270/04;M;13484
2011;Corso di Laurea - vecchio ordinamento;M;4656
2011;Laurea Magistrale a Ciclo Unico - dm 270/04;M;5707
2011;Laurea Specialistica - dm 509/99;F;27525
2011;Laurea - dm 270/04;F;15856
2011;Laurea Specialistica - dm 509/99;M;23434
2011;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5138
2011;Laurea  - dm 509/99;M;59023
2011;Corso di Laurea - vecchio ordinamento;F;11268
2010;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8873
2010;Laurea  - dm 509/99;M;66253
2010;Laurea Specialistica - dm 509/99;F;40562
2010;Laurea - dm 270/04;M;2442
2010;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5027
